"","iso3c","country","date","confirmed","deaths","recovered","ecdc_cases","ecdc_deaths","total_tests","tests_units","soc_dist","mov_rest","pub_health","gov_soc_econ","lockdown","apple_mtr_driving","apple_mtr_walking","apple_mtr_transit","gcmr_iso_3166_2_code","gcmr_census_fips_code","gcmr_retail_recreation","gcmr_grocery_pharmacy","gcmr_parks","gcmr_transit_stations","gcmr_workplaces","gcmr_residential","gtrends_score","gtrends_country_score","population","land_area_skm","pop_density","pop_largest_city","life_expectancy","gdp_capita","timestamp","death_by_ncd","death_by_cvd_ca_dm_30_70","diabetes_20_79","pop_0_14_2018","pop_15_64_2018","pop_65_over_2018","tourist_arrivals","lat","lng","active","confirmed_logratio","confirmed_per_100k","deaths_per_100k","mortality_rate","recovery_rate","new_cases","ave_new_cases","region_1","region_2","region_3","region_4","region_5","region_6","region_7","region","income_1","income_2","income_3","income_4","income","economy","oecs","caricom"
"1","ATG","Antigua & Barbuda",2020-03-07,0,0,0,NA,NA,NA,NA,0,0,2,0,0,NA,NA,NA,NA,NA,1,6,5,6,7,0,NA,NA,96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-06-21 12:24:48,81.8,22.6,13.1,22.0810917475022,69.1190827326922,8.79982551980558,269000,17.1175,-61.8456,0,NA,0,0,NA,NA,0,0,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","OECS Member State","CARICOM Member State"
"2","ATG","Antigua & Barbuda",2020-03-08,0,0,0,NA,NA,NA,NA,0,0,2,0,0,NA,NA,NA,NA,NA,3,2,13,3,1,NA,NA,NA,96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-06-21 12:24:48,81.8,22.6,13.1,22.0810917475022,69.1190827326922,8.79982551980558,269000,17.1175,-61.8456,0,NA,0,0,NA,NA,0,0,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","OECS Member State","CARICOM Member State"
"3","ATG","Antigua & Barbuda",2020-03-09,0,0,0,NA,NA,NA,NA,0,0,2,0,0,NA,NA,NA,NA,NA,-4,4,1,-3,2,1,NA,NA,96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-06-21 12:24:48,81.8,22.6,13.1,22.0810917475022,69.1190827326922,8.79982551980558,269000,17.1175,-61.8456,0,NA,0,0,NA,NA,0,0,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","OECS Member State","CARICOM Member State"
"4","ATG","Antigua & Barbuda",2020-03-10,0,0,0,NA,NA,NA,NA,0,0,2,0,0,NA,NA,NA,NA,NA,5,4,1,0,4,1,NA,NA,96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-06-21 12:24:48,81.8,22.6,13.1,22.0810917475022,69.1190827326922,8.79982551980558,269000,17.1175,-61.8456,0,NA,0,0,NA,NA,0,0,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","OECS Member State","CARICOM Member State"
"5","ATG","Antigua & Barbuda",2020-03-11,0,0,0,NA,NA,NA,NA,0,0,2,0,0,NA,NA,NA,NA,NA,-2,9,2,-7,5,0,NA,NA,96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-06-21 12:24:48,81.8,22.6,13.1,22.0810917475022,69.1190827326922,8.79982551980558,269000,17.1175,-61.8456,0,NA,0,0,NA,NA,0,0,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","OECS Member State","CARICOM Member State"
"6","ATG","Antigua & Barbuda",2020-03-12,0,0,0,NA,NA,NA,NA,0,0,2,0,0,NA,NA,NA,NA,NA,7,14,6,-5,2,1,NA,NA,96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-06-21 12:24:48,81.8,22.6,13.1,22.0810917475022,69.1190827326922,8.79982551980558,269000,17.1175,-61.8456,0,NA,0,0,NA,NA,0,0,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","OECS Member State","CARICOM Member State"
"7","ATG","Antigua & Barbuda",2020-03-13,1,0,0,NA,NA,NA,NA,0,0,3,0,0,NA,NA,NA,NA,NA,0,19,0,4,5,0,NA,NA,96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-06-21 12:24:48,81.8,22.6,13.1,22.0810917475022,69.1190827326922,8.79982551980558,269000,17.1175,-61.8456,1,Inf,1.03857258583802,0,0,0,1,0.142857142857143,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","OECS Member State","CARICOM Member State"
"8","ATG","Antigua & Barbuda",2020-03-14,1,0,0,NA,NA,NA,NA,0,0,3,0,0,NA,NA,NA,NA,NA,-11,2,-4,-10,1,4,NA,NA,96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-06-21 12:24:48,81.8,22.6,13.1,22.0810917475022,69.1190827326922,8.79982551980558,269000,17.1175,-61.8456,1,0,1.03857258583802,0,0,0,0,0.142857142857143,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","OECS Member State","CARICOM Member State"
"9","ATG","Antigua & Barbuda",2020-03-15,1,0,0,1,0,NA,NA,1,0,3,0,0,NA,NA,NA,NA,NA,-12,-2,-10,-10,-7,NA,NA,NA,96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-06-21 12:24:48,81.8,22.6,13.1,22.0810917475022,69.1190827326922,8.79982551980558,269000,17.1175,-61.8456,1,0,1.03857258583802,0,0,0,0,0.142857142857143,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","OECS Member State","CARICOM Member State"
"10","ATG","Antigua & Barbuda",2020-03-16,1,0,0,1,0,NA,NA,3,0,3,2,0,NA,NA,NA,NA,NA,-15,-5,-8,-10,-15,9,NA,NA,96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-06-21 12:24:48,81.8,22.6,13.1,22.0810917475022,69.1190827326922,8.79982551980558,269000,17.1175,-61.8456,1,0,1.03857258583802,0,0,0,0,0.142857142857143,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","OECS Member State","CARICOM Member State"
"11","ATG","Antigua & Barbuda",2020-03-17,1,0,0,1,0,NA,NA,3,0,4,2,0,NA,NA,NA,NA,NA,-19,-7,-16,-18,-15,11,NA,NA,96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-06-21 12:24:48,81.8,22.6,13.1,22.0810917475022,69.1190827326922,8.79982551980558,269000,17.1175,-61.8456,1,0,1.03857258583802,0,0,0,0,0.142857142857143,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","OECS Member State","CARICOM Member State"
"12","ATG","Antigua & Barbuda",2020-03-18,1,0,0,1,0,NA,NA,3,0,4,2,0,NA,NA,NA,NA,NA,-20,-9,-14,-19,-19,10,NA,NA,96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-06-21 12:24:48,81.8,22.6,13.1,22.0810917475022,69.1190827326922,8.79982551980558,269000,17.1175,-61.8456,1,0,1.03857258583802,0,0,0,0,0.142857142857143,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","OECS Member State","CARICOM Member State"
"13","ATG","Antigua & Barbuda",2020-03-19,1,0,0,1,0,NA,NA,3,0,4,2,0,NA,NA,NA,NA,NA,-18,-3,-15,-20,-21,12,NA,NA,96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-06-21 12:24:48,81.8,22.6,13.1,22.0810917475022,69.1190827326922,8.79982551980558,269000,17.1175,-61.8456,1,0,1.03857258583802,0,0,0,0,0.142857142857143,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","OECS Member State","CARICOM Member State"
"14","ATG","Antigua & Barbuda",2020-03-20,1,0,0,1,0,NA,NA,3,0,4,2,0,NA,NA,NA,NA,NA,-19,-2,-18,-18,-20,13,NA,NA,96286,440,218.831818181818,NA,76.885,15134.8841569088,2020-06-21 12:24:48,81.8,22.6,13.1,22.0810917475022,69.1190827326922,8.79982551980558,269000,17.1175,-61.8456,1,0,1.03857258583802,0,0,0,0,0,0,0,1,0,0,0,0,"Latin America & Caribbean ",1,0,0,0,"High income","Service Based","OECS Member State","CARICOM Member State"
